title,link,address,company,short_description,rich_description,salary,skils
IT - специалист,https://hh.ru/vacancy/131936448?query=it&hhtmFrom=vacancy_search_list,"Ташкент, Янгихаётский район, махаллинский сход граждан Хужа Учкун, улица Истикбол, 34",СП ООО SAMIST AUTO,Имеет опыт работы,,,
IT-рекрутер в компанию,https://hh.ru/vacancy/131053198?query=it&hhtmFrom=vacancy_search_list,Астана,ТОО Smart Commerce Kazakhstan,...если в,,"300 000 – 450 000 ₸ за месяц, до вычета налогов",
IT-рекрутер,https://hh.ru/vacancy/131806585?query=it&hhtmFrom=vacancy_search_list,"Ташкент, Чиланзарский район, проспект Бунёдкор, 40/1",ООО BITO,"Коммуникация и продажи: Умение «продать» вакансию специалисту, который не ищет работу (холодные контакты), вести переговоры, обрабатывать возражения и поддерживать дружелюбный...",,"от 3 500 000 so'm за месяц, до вычета налогов",
Специалист IT,https://hh.ru/vacancy/131394612?query=it&hhtmFrom=vacancy_search_list,"Троицк, Троицкий бульвар, 7",ООО Архпроект,Высшее/неоконченное высшее/среднее специальное и техническое или смежное образование. Опыт работы в,,,
Юрист (IT),https://hh.ru/vacancy/131998320?query=it&hhtmFrom=vacancy_search_list,Москва,ООО БайтЭрг,...получение квалификации,,,
IT рекрутер,https://hh.ru/vacancy/131826446?query=it&hhtmFrom=vacancy_search_list,Алматы,ТОО My Startups,...в,,,
IT Специалист,https://hh.ru/vacancy/129511099?query=it&hhtmFrom=vacancy_search_list,"Всеволожский район, промзона Уткина Заводь, 4к4",Tefal,Zabbix. VBA. MS Access. SQL. Базовые навыки написания скриптов. Английский язык базовый. Базовые навыки управления проектами. Сильные коммуникативные навыки. Ответственность.,,,
IT-рекрутер,https://hh.ru/vacancy/131258707?query=it&hhtmFrom=vacancy_search_list,"Алматы, улица Абдуллы Розыбакиева, 263",ТОО My Startups,Опыт в подборе,,,
IT специалист,https://hh.ru/vacancy/131203538?query=it&hhtmFrom=vacancy_search_list,"Тула, р-н Привокзальный",ООО СтарСити,"Опыт работы в технической поддержке или на аналогичной позиции от 1 года. Знание операционных систем Windows, базовые навыки работы с...",,"от 80 000 ₽ за месяц, на руки",
IT-специалист,https://hh.ru/vacancy/131987946?query=it&hhtmFrom=vacancy_search_list,"Алматы, улица Ратушного, 74А",ТОО Аяла Плюс,Внимательность и ответственность при работе с оборудованием. Навыки поиска и устранения неисправностей «на месте». Знания подсистемы Агент-Плюс приветствуется.,,,
IT Специалист,https://hh.ru/vacancy/131986479?query=it&hhtmFrom=vacancy_search_list,"Ташкент, 1-й проезд Рохат",ООО GLOBAL TEXTILE SOLUTIONS,Опыт работы 1-3 года в,,"8 800 000 so'm за месяц, на руки",
Специалист IT,https://hh.ru/vacancy/131020871?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО ПРОТЕЙ ТЛ,"Знание принципов построения сетей передачи данных (стек TCP/IP, маршрутизация и коммутация). Опыт администрирования серверного оборудования на базе ОС Linux.",,,
Помощник IT,https://hh.ru/vacancy/131984890?query=it&hhtmFrom=vacancy_search_list,"Сергиев Посад, проспект Красной Армии, 2А",ООО Научно - Инновационный Институт Профессиональной Переподготовки и Повышения Квалификации,выстроить,,,
IT Project Manager,https://hh.ru/vacancy/132000350?query=it&hhtmFrom=vacancy_search_list,"село Павловская Слобода, улица Ленина, 85",ООО Мэйджор Карго Сервис,имеете опыт работы,,,
IT-специалист,https://hh.ru/vacancy/131812882?query=it&hhtmFrom=vacancy_search_list,Казань,ООО Ремик,"Грамотная письменная и устная речь. Ответственность, исполнительность, готовность учиться новому. Активность, целеустремленность, желание развиваться в",,"от 70 000 ₽ за месяц, на руки",
Аналитик IT,https://hh.ru/vacancy/131981579?query=it&hhtmFrom=vacancy_search_list,Москва,"Программный Продукт, ИТ-компания",Опыт написания проектной документации (ГОСТ). Опыт работы системным аналитиком в заказной разработке от 2-х лет. Опыт работы в проектах...,,,
IT Project Manager,https://hh.ru/vacancy/131998480?query=it&hhtmFrom=vacancy_search_list,Астана,ОсОО Юнифан,"Хорошее владение русским языком, знание английского будет преимуществом. Умение четко и правильно излагать свои мысли - устно и письменно.",,"500 – 1 500 $ за месяц, на руки",
IT-разработчик,https://hh.ru/vacancy/131981063?query=it&hhtmFrom=vacancy_search_list,Москва,ООО ИКС БИО ТЕХНОЛОДЖИ,"Речь идёт о создании гибкой и масштабируемой AI-инфраструктуры, способной усиливать ключевые бизнес-процессы и быстро адаптироваться под новые задачи.",,,
